date;nom_point;latitude;longitude;vitesse_reelle;vitesse_habituelle;bouchon_seconds;niveau traffic
2025-12-07 16:12:35;Point A_1 - Inser1 vers D;50.43177;2.931005;112;112;0;0
2025-12-07 16:12:35;Point B_1 - Mid_Inser1-2 vers D;50.432193;2.937499;110;110;0;0
2025-12-07 16:12:35;Point C_1 _ Inser 2 vers D;50.430505;2.9621;108;108;0;0
2025-12-07 16:12:36;Point D_1 _ Sortie1 _ vers D;50.428886;2.979063;98;98;0;0
2025-12-07 16:12:36;Point E_1 _ Insertion- vers L;50.423737;3.022513;108;108;0;0
2025-12-07 16:12:36;Point F_1 _ Radar _ Douai;50.424005;3.020059;103;103;0;0
2025-12-07 16:12:36;Point G_1 _ Sortie Final _  vers D;50.388299;3.128845;104;104;0;0
2025-12-07 16:17:37;Point A_1 - Inser1 vers D;50.43177;2.931005;112;112;0;0
2025-12-07 16:17:37;Point B_1 - Mid_Inser1-2 vers D;50.432193;2.937499;110;110;0;0
2025-12-07 16:17:37;Point C_1 _ Inser 2 vers D;50.430505;2.9621;108;108;0;0
2025-12-07 16:17:38;Point D_1 _ Sortie1 _ vers D;50.428886;2.979063;98;98;0;0
2025-12-07 16:17:38;Point E_1 _ Insertion- vers L;50.423737;3.022513;108;108;0;0
2025-12-07 16:17:38;Point F_1 _ Radar _ Douai;50.424005;3.020059;103;103;0;0
2025-12-07 16:17:38;Point G_1 _ Sortie Final _  vers D;50.388299;3.128845;104;104;0;0
2025-12-07 16:22:39;Point A_1 - Inser1 vers D;50.43177;2.931005;112;112;0;0
2025-12-07 16:22:39;Point B_1 - Mid_Inser1-2 vers D;50.432193;2.937499;110;110;0;0
2025-12-07 16:22:39;Point C_1 _ Inser 2 vers D;50.430505;2.9621;108;108;0;0
2025-12-07 16:22:40;Point D_1 _ Sortie1 _ vers D;50.428886;2.979063;98;98;0;0
2025-12-07 16:22:40;Point E_1 _ Insertion- vers L;50.423737;3.022513;108;108;0;0
2025-12-07 16:22:40;Point F_1 _ Radar _ Douai;50.424005;3.020059;103;103;0;0
2025-12-07 16:22:40;Point G_1 _ Sortie Final _  vers D;50.388299;3.128845;104;104;0;0
2025-12-07 16:27:41;Point A_1 - Inser1 vers D;50.43177;2.931005;112;112;0;0
2025-12-07 16:27:41;Point B_1 - Mid_Inser1-2 vers D;50.432193;2.937499;110;110;0;0
2025-12-07 16:27:41;Point C_1 _ Inser 2 vers D;50.430505;2.9621;108;108;0;0
2025-12-07 16:27:42;Point D_1 _ Sortie1 _ vers D;50.428886;2.979063;98;98;0;0
2025-12-07 16:27:42;Point E_1 _ Insertion- vers L;50.423737;3.022513;108;108;0;0
2025-12-07 16:27:42;Point F_1 _ Radar _ Douai;50.424005;3.020059;103;103;0;0
2025-12-07 16:27:43;Point G_1 _ Sortie Final _  vers D;50.388299;3.128845;104;104;0;0
2025-12-07 16:32:43;Point A_1 - Inser1 vers D;50.43177;2.931005;112;112;0;0
2025-12-07 16:32:43;Point B_1 - Mid_Inser1-2 vers D;50.432193;2.937499;110;110;0;0
2025-12-07 16:32:44;Point C_1 _ Inser 2 vers D;50.430505;2.9621;108;108;0;0
2025-12-07 16:32:44;Point D_1 _ Sortie1 _ vers D;50.428886;2.979063;98;98;0;0
2025-12-07 16:32:44;Point E_1 _ Insertion- vers L;50.423737;3.022513;108;108;0;0
2025-12-07 16:32:44;Point F_1 _ Radar _ Douai;50.424005;3.020059;103;103;0;0
2025-12-07 16:32:45;Point G_1 _ Sortie Final _  vers D;50.388299;3.128845;104;104;0;0
2025-12-07 16:37:45;Point A_1 - Inser1 vers D;50.43177;2.931005;112;112;0;0
2025-12-07 16:37:45;Point B_1 - Mid_Inser1-2 vers D;50.432193;2.937499;110;110;0;0
2025-12-07 16:37:46;Point C_1 _ Inser 2 vers D;50.430505;2.9621;108;108;0;0
2025-12-07 16:37:46;Point D_1 _ Sortie1 _ vers D;50.428886;2.979063;98;98;0;0
2025-12-07 16:37:46;Point E_1 _ Insertion- vers L;50.423737;3.022513;108;108;0;0
2025-12-07 16:37:46;Point F_1 _ Radar _ Douai;50.424005;3.020059;103;103;0;0
2025-12-07 16:37:47;Point G_1 _ Sortie Final _  vers D;50.388299;3.128845;104;104;0;0
2025-12-07 16:42:47;Point A_1 - Inser1 vers D;50.43177;2.931005;112;112;0;0
2025-12-07 16:42:47;Point B_1 - Mid_Inser1-2 vers D;50.432193;2.937499;110;110;0;0
2025-12-07 16:42:48;Point C_1 _ Inser 2 vers D;50.430505;2.9621;108;108;0;0
2025-12-07 16:42:48;Point D_1 _ Sortie1 _ vers D;50.428886;2.979063;98;98;0;0
2025-12-07 16:42:48;Point E_1 _ Insertion- vers L;50.423737;3.022513;108;108;0;0
2025-12-07 16:42:49;Point F_1 _ Radar _ Douai;50.424005;3.020059;103;103;0;0
2025-12-07 16:42:49;Point G_1 _ Sortie Final _  vers D;50.388299;3.128845;104;104;0;0
2025-12-07 16:47:49;Point A_1 - Inser1 vers D;50.43177;2.931005;112;112;0;0
2025-12-07 16:47:49;Point B_1 - Mid_Inser1-2 vers D;50.432193;2.937499;110;110;0;0
2025-12-07 16:47:50;Point C_1 _ Inser 2 vers D;50.430505;2.9621;108;108;0;0
2025-12-07 16:47:50;Point D_1 _ Sortie1 _ vers D;50.428886;2.979063;98;98;0;0
2025-12-07 16:47:50;Point E_1 _ Insertion- vers L;50.423737;3.022513;108;108;0;0
2025-12-07 16:47:51;Point F_1 _ Radar _ Douai;50.424005;3.020059;103;103;0;0
2025-12-07 16:47:51;Point G_1 _ Sortie Final _  vers D;50.388299;3.128845;104;104;0;0
2025-12-07 16:52:51;Point A_1 - Inser1 vers D;50.43177;2.931005;112;112;0;0
2025-12-07 16:52:52;Point B_1 - Mid_Inser1-2 vers D;50.432193;2.937499;110;110;0;0
2025-12-07 16:52:52;Point C_1 _ Inser 2 vers D;50.430505;2.9621;108;108;0;0
2025-12-07 16:52:52;Point D_1 _ Sortie1 _ vers D;50.428886;2.979063;98;98;0;0
2025-12-07 16:52:53;Point E_1 _ Insertion- vers L;50.423737;3.022513;108;108;0;0
2025-12-07 16:52:53;Point F_1 _ Radar _ Douai;50.424005;3.020059;103;103;0;0
2025-12-07 16:52:53;Point G_1 _ Sortie Final _  vers D;50.388299;3.128845;104;104;0;0
2025-12-07 16:57:54;Point A_1 - Inser1 vers D;50.43177;2.931005;112;112;0;0
2025-12-07 16:57:54;Point B_1 - Mid_Inser1-2 vers D;50.432193;2.937499;110;110;0;0
2025-12-07 16:57:54;Point C_1 _ Inser 2 vers D;50.430505;2.9621;108;108;0;0
2025-12-07 16:57:55;Point D_1 _ Sortie1 _ vers D;50.428886;2.979063;98;98;0;0
2025-12-07 16:57:55;Point E_1 _ Insertion- vers L;50.423737;3.022513;108;108;0;0
2025-12-07 16:57:55;Point F_1 _ Radar _ Douai;50.424005;3.020059;103;103;0;0
2025-12-07 16:57:56;Point G_1 _ Sortie Final _  vers D;50.388299;3.128845;104;104;0;0
2025-12-07 17:02:56;Point A_1 - Inser1 vers D;50.43177;2.931005;112;112;0;0
2025-12-07 17:02:57;Point B_1 - Mid_Inser1-2 vers D;50.432193;2.937499;110;110;0;0
2025-12-07 17:02:57;Point C_1 _ Inser 2 vers D;50.430505;2.9621;108;108;0;0
2025-12-07 17:02:57;Point D_1 _ Sortie1 _ vers D;50.428886;2.979063;98;98;0;0
2025-12-07 17:02:58;Point E_1 _ Insertion- vers L;50.423737;3.022513;108;108;0;0
2025-12-07 17:02:58;Point F_1 _ Radar _ Douai;50.424005;3.020059;103;103;0;0
2025-12-07 17:02:59;Point G_1 _ Sortie Final _  vers D;50.388299;3.128845;104;104;0;0
2025-12-07 17:07:59;Point A_1 - Inser1 vers D;50.43177;2.931005;112;112;0;0
2025-12-07 17:07:59;Point B_1 - Mid_Inser1-2 vers D;50.432193;2.937499;110;110;0;0
2025-12-07 17:08:00;Point C_1 _ Inser 2 vers D;50.430505;2.9621;108;108;0;0
2025-12-07 17:08:00;Point D_1 _ Sortie1 _ vers D;50.428886;2.979063;98;98;0;0
2025-12-07 17:08:01;Point E_1 _ Insertion- vers L;50.423737;3.022513;108;108;0;0
2025-12-07 17:08:01;Point F_1 _ Radar _ Douai;50.424005;3.020059;103;103;0;0
2025-12-07 17:08:01;Point G_1 _ Sortie Final _  vers D;50.388299;3.128845;104;104;0;0
2025-12-07 17:13:02;Point A_1 - Inser1 vers D;50.43177;2.931005;112;112;0;0
